symbol,report_date,security_name,total_operate_income,operate_income,total_operate_cost,operate_cost,sale_expense,manage_expense,finance_expense,operate_profit,total_profit,income_tax,netprofit,parent_netprofit,deduct_parent_netprofit,basic_eps,diluted_eps,create_time,update_time,security_code,quarter,year,total_operate_income_quarterly,operate_income_quarterly,total_operate_cost_quarterly,operate_cost_quarterly,sale_expense_quarterly,manage_expense_quarterly,finance_expense_quarterly,operate_profit_quarterly,total_profit_quarterly,income_tax_quarterly,netprofit_quarterly,parent_netprofit_quarterly,deduct_parent_netprofit_quarterly
000534.SZ,2015-03-31,万泽股份,13936.5976,13936.5976,11688.8704,7257.0551,377.9258,1713.6628,158.5607,2273.0333,2145.7182,807.005,1338.7133,1433.1694,1275.1136,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,1,2015,13936.5976,13936.5976,11688.8704,7257.0551,377.9258,1713.6628,158.5607,2273.0333,2145.7182,807.005,1338.7133,1433.1694,1275.1136
000534.SZ,2015-06-30,万泽股份,27128.5318,27128.5318,21173.0897,10974.7069,1047.6631,3843.8008,799.4625,6018.1853,6031.7771,2426.8739,3604.9032,4002.7617,3945.5104,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,2,2015,13191.934200000002,13191.934200000002,9484.2193,3717.6517999999996,669.7373,2130.138,640.9018,3745.152,3886.0589000000004,1619.8689,2266.1899000000003,2569.5923000000003,2670.3968000000004
000534.SZ,2015-09-30,万泽股份,46176.2209,46176.2209,38679.6459,22516.4978,1328.2215,6300.6993,1029.8706,7539.6877,7700.2102,3563.0575,4137.1527,4793.5554,4640.829,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,3,2015,19047.6891,19047.6891,17506.556200000003,11541.790900000002,280.5584000000001,2456.8985000000002,230.4081,1521.5024000000003,1668.4331000000002,1136.1835999999998,532.2494999999994,790.7937000000002,695.3185999999996
000534.SZ,2015-12-31,万泽股份,49181.0832,49181.0832,47380.052,23915.1926,979.7123,9570.7271,3084.4728,7037.5109,7410.3599,3630.3593,3780.0006,4642.7998,-836.4835,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,4,2015,3004.8623000000007,3004.8623000000007,8700.4061,1398.6947999999975,-348.5092000000001,3270.0278,2054.6022000000003,-502.1768000000002,-289.85030000000006,67.30180000000018,-357.1520999999998,-150.7556000000004,-5477.3125
000534.SZ,2016-03-31,万泽股份,2240.8994,2240.8994,4943.2632,1931.8296,63.8912,2032.4071,1060.8199,-2931.462,-2930.6397,0.0,-2930.6397,-2659.1935,-2659.8103,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,1,2016,2240.8994,2240.8994,4943.2632,1931.8296,63.8912,2032.4071,1060.8199,-2931.462,-2930.6397,0.0,-2930.6397,-2659.1935,-2659.8103
000534.SZ,2016-06-30,万泽股份,2583.642,2583.642,10947.6877,2018.6164,117.4689,4416.7733,2857.7728,10020.9724,10522.3581,1917.4349,8604.9232,8982.4591,-6096.4603,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,2,2016,342.74260000000004,342.74260000000004,6004.4245,86.78680000000008,53.57770000000001,2384.3662,1796.9529000000002,12952.4344,13452.9978,1917.4349,11535.562899999999,11641.6526,-3436.6499999999996
000534.SZ,2016-09-30,万泽股份,3134.0487,3134.0487,13861.7105,2426.7081,546.5865,5561.4802,3955.5479,7533.6883,8045.1525,1678.3958,6366.7567,6869.9294,-7967.5345,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,3,2016,550.4067,550.4067,2914.022799999999,408.0916999999997,429.1176,1144.7069000000001,1097.7750999999998,-2487.2841000000008,-2477.2055999999993,-239.03909999999996,-2238.1664999999994,-2112.5297,-1871.0742
000534.SZ,2016-12-31,万泽股份,19467.9658,19467.9658,30081.25,12524.1588,2039.3011,6089.039,4719.5212,7670.0024,8471.8668,1318.6917,7153.175,7619.0243,-10250.1116,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,4,2016,16333.917100000002,16333.917100000002,16219.5395,10097.4507,1492.7145999999998,527.5587999999998,763.9733000000001,136.3141000000005,426.71429999999964,-359.7040999999999,786.4183000000003,749.0949,-2282.5771000000004
000534.SZ,2017-03-31,万泽股份,162.2637,162.2637,2395.3931,97.993,395.8303,1005.0353,1064.9172,-2415.5838,-2411.5523,,-2411.5523,-2288.5446,-2316.7473,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,1,2017,162.2637,162.2637,2395.3931,97.993,395.8303,1005.0353,1064.9172,-2415.5838,-2411.5523,,-2411.5523,-2288.5446,-2316.7473
000534.SZ,2017-06-30,万泽股份,17685.7668,17685.7668,16021.0386,9282.4862,1526.2545,3088.0095,956.9438,1524.7573,1564.0888,1204.4877,359.601,875.5112,846.0126,0.0,0.0,2025-03-15 11:09:37.191337,2025-03-15 11:09:37.197935,000534,2,2017,17523.5031,17523.5031,13625.6455,9184.493199999999,1130.4242,2082.9742,-107.97340000000008,3940.3410999999996,3975.6411,,2771.1533,3164.0558,3162.7599
