SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,OPINION_TYPE,OSOPINION_TYPE,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_QOQ,OPERATE_INCOME,OPERATE_INCOME_QOQ,INTEREST_INCOME,INTEREST_INCOME_QOQ,EARNED_PREMIUM,EARNED_PREMIUM_QOQ,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_QOQ,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_QOQ,TOI_OTHER,TOI_OTHER_QOQ,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_QOQ,OPERATE_COST,OPERATE_COST_QOQ,INTEREST_EXPENSE,INTEREST_EXPENSE_QOQ,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_QOQ,RESEARCH_EXPENSE,RESEARCH_EXPENSE_QOQ,SURRENDER_VALUE,SURRENDER_VALUE_QOQ,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_QOQ,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_QOQ,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_QOQ,REINSURE_EXPENSE,REINSURE_EXPENSE_QOQ,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_QOQ,OPERATE_TAX_ADD,OPERATE_TAX_ADD_QOQ,SALE_EXPENSE,SALE_EXPENSE_QOQ,MANAGE_EXPENSE,MANAGE_EXPENSE_QOQ,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_QOQ,FINANCE_EXPENSE,FINANCE_EXPENSE_QOQ,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_QOQ,FE_INTEREST_INCOME,FE_INTEREST_INCOME_QOQ,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_QOQ,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_QOQ,OTHER_INCOME,OTHER_INCOME_QOQ,TOC_OTHER,TOC_OTHER_QOQ,INVEST_INCOME,INVEST_INCOME_QOQ,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_QOQ,ACF_END_INCOME,ACF_END_INCOME_QOQ,EXCHANGE_INCOME,EXCHANGE_INCOME_QOQ,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_QOQ,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_QOQ,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_QOQ,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_QOQ,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_QOQ,OPERATE_PROFIT,OPERATE_PROFIT_QOQ,NONBUSINESS_INCOME,NONBUSINESS_INCOME_QOQ,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_QOQ,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_QOQ,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_QOQ,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_QOQ,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_QOQ,TOTAL_PROFIT,TOTAL_PROFIT_QOQ,EFFECT_TP_OTHER,EFFECT_TP_OTHER_QOQ,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_QOQ,INCOME_TAX,INCOME_TAX_QOQ,NETPROFIT,NETPROFIT_QOQ,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_QOQ,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_QOQ,NETPROFIT_OTHER,NETPROFIT_OTHER_QOQ,NETPROFIT_BALANCE,NETPROFIT_BALANCE_QOQ,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_QOQ,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_QOQ,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_QOQ,MINORITY_INTEREST,MINORITY_INTEREST_QOQ,PARENT_NETPROFIT,PARENT_NETPROFIT_QOQ,BASIC_EPS,BASIC_EPS_QOQ,DILUTED_EPS,DILUTED_EPS_QOQ,UNABLE_OCI,UNABLE_OCI_QOQ,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_QOQ,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_QOQ,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_QOQ,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_QOQ,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_QOQ,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_QOQ,ABLE_OCI,ABLE_OCI_QOQ,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_QOQ,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_QOQ,HMI_AFA,HMI_AFA_QOQ,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_QOQ,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_QOQ,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_QOQ,FINANCE_OCI_AMT,FINANCE_OCI_AMT_QOQ,CONVERT_DIFF,CONVERT_DIFF_QOQ,ABLE_OCI_OTHER,ABLE_OCI_OTHER_QOQ,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_QOQ,OCI_OTHER,OCI_OTHER_QOQ,OCI_BALANCE,OCI_BALANCE_QOQ,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_QOQ,PARENT_OCI,PARENT_OCI_QOQ,MINORITY_OCI,MINORITY_OCI_QOQ,PARENT_OCI_OTHER,PARENT_OCI_OTHER_QOQ,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_QOQ,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_QOQ,PARENT_TCI,PARENT_TCI_QOQ,MINORITY_TCI,MINORITY_TCI_QOQ,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_QOQ,TCI_OTHER,TCI_OTHER_QOQ,TCI_BALANCE,TCI_BALANCE_QOQ,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_QOQ,PRECOMBINE_TCI,PRECOMBINE_TCI_QOQ,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_QOQ
600519.SH,600519,贵州茅台,10002602,通用,2024-09-30 00:00:00,三季度,2024三季度,058001001,2024-10-26 00:00:00,2024-10-26 00:00:00,CNY,,,39671377978.92,7.317319313296,38845154206.94,7.439245790331,826223771.98,1.881445862124,,,,,,,,,13246280462.3,5.196126428928,3477198143.15,3.193603067229,31415638.91,51.526002480914,11116.42,-93.935086490495,47984385.56,-25.317274738188,,,,,,,,,,,,,6418318701.89,1.963435952621,1617699408.91,9.532902689536,1931496484.68,8.891841704703,,,-277843417.22,31.930701883012,1478152.48,-54.933157843226,274945411.62,-30.413431883755,,,,,2067272.88,14.419420506434,,,5731238.42,470.553930165591,,,,,,,,,5234257.17,-76.011396717857,-74839.5,-226.325314840606,7726496.38,239.989560776165,,,26445781941.97,8.412733088286,26435642.43,135.706382561607,,,1615634.81,598.137582253341,,,,,,,26470601949.59,8.465640622344,,,,,6616054055.16,8.281867714713,19854547894.43,8.527017198509,19854547894.43,8.527017198509,,,,,,,,,,,,,722606759.29,8.790534758565,19131941135.14,8.51708924879,15.23,8.553100498931,15.23,8.553100498931,,,,,,,,,,,,,,,1905265.0,1271.41231710449,,,,,,,,,,,,,,,1905265.0,1271.41231710449,,,,,,,,,1905265.0,1271.41231710449,1905265.0,1271.41231710449,,,,,,,19856453159.43,8.5383965291,19133846400.14,8.528897204815,722606759.29,8.790534758565,,,,,,,,,,,19108543634.77,8.456487735369
600519.SH,600519,贵州茅台,10002602,通用,2024-06-30 00:00:00,二季度,2024二季度,058001001,2024-08-09 00:00:00,2024-08-09 00:00:00,CNY,,,36966426512.3,-20.476207899558,36155460624.46,-21.015724212863,810965887.84,14.345991426333,,,,,,,,,12591985001.7,-5.636531470644,3369586912.17,-0.34618204155,20732836.87,4.377954359422,183290.66,940.056766274342,64250983.6,128.118108858251,,,,,,,,,,,,,6294725792.56,-12.558038480412,1476907275.52,29.487883324189,1773775201.56,-13.988491860437,,,-408177291.24,16.148161232459,3279911.37,32.88541621463,395112762.51,-21.051788269988,,,,,1806750.0,-87.342248999395,,,1004504.24,-21.744183212041,,,,,,,,,21819766.28,59.104877454919,59243.47,637.114869463408,-5519337.54,56.012074269951,,,24393612437.05,-26.430729850838,11215497.07,-31.620290767134,,,231420.69,314.486847040087,,,,,,,24404596513.43,-26.433869464818,,,,,6110029495.05,-26.308279403704,18294567018.38,-26.475718797159,18294567018.38,-26.475718797159,,,,,,,,,,,,,664218409.16,-18.708769870923,17630348609.22,-26.739429077832,14.03,-26.774530271399,14.03,-26.774530271399,,,,,,,,,,,,,,,-162646.83,92.058535684673,,,,,,,,,,,,,,,-162646.83,92.058535684673,,,,,,,,,-162646.83,92.058535684673,-162646.83,92.058535684673,,,,,,,18294404371.55,-26.470320217907,17630185962.39,-26.733869630608,664218409.16,-18.708769870923,,,,,,,,,,,17618626634.3,-26.746158277492
600519.SH,600519,贵州茅台,10002602,通用,2024-03-31 00:00:00,一季度,2024一季度,058001001,2024-04-27 00:00:00,2024-04-27 00:00:00,CNY,,,46484738134.23,2.741350193801,45775517043.29,3.039412785068,709221090.94,-13.422999879818,,,,,,,,,13344131153.66,-9.378931076291,3381292339.02,2.348163331898,19863233.57,-44.890240667634,17623.14,118.956995939709,28165665.55,-49.92400975142,,,,,,,,,,,,,7198747241.22,16.021084892777,1140575656.66,-28.081176202993,2062253342.52,-48.390918876449,,,-486783948.02,-6.462340363163,2468225.23,-15.303651543719,500470819.86,-0.689091510238,,,,,14273862.71,1916.074786105317,,,1283616.07,-95.406649343704,,,,,,,,,13714077.55,318.242535265878,8037.21,-99.626870494325,-12547392.15,-91.160895153127,,,33157339181.96,8.580183553174,16401791.11,3.250811296721,,,55833.06,-99.952364668062,,,,,0.0,,33173685140.01,8.995363747187,,,0.0,,8291337813.27,7.101597060175,24882347326.74,9.641372273746,24882347326.74,9.641372273746,,,,,,,,,,,,,817084952.59,-2.31519599554,24065262374.15,10.098922970094,19.16,10.114942528736,19.16,10.114942528736,,,,,,,,,,,,,,,-2048071.03,-168.100139178158,,,,,,,,,,,,,,,-2048071.03,-168.100139178158,,,,,,,,,-2048071.03,-168.100139178158,-2048071.03,-168.100139178158,,,,,,,24880299255.71,9.617821160012,24063214303.12,10.074407786625,817084952.59,-2.31519599554,,,,,,,,,,,24051471185.69,9.639216277399
600519.SH,600519,贵州茅台,10002602,通用,2023-12-31 00:00:00,四季度,2023四季度,058001001,2024-04-03 00:00:00,2024-04-03 00:00:00,CNY,标准无保留意见,,45244429868.35,31.797700790695,44425250305.7,31.855657928505,819179562.65,28.729132609673,,,,,,,,,14725197255.06,33.182677760154,3303715698.4,15.636244703741,36043041.76,51.239613983595,-92963.78,-812.071480000613,56245848.38,98.360673234046,,,,,,,,,,,,,6204688783.83,14.293212528543,1585920898.65,24.25055734501,3995911761.31,109.969364851725,,,-457235813.49,0.822509032454,2914205.01,-15.49617279832,503943451.4,2.724204057131,,,,,708002.64,-86.142065824492,,,27945092.07,1295.712982682108,,,,,,,,,-6283870.16,-166.037606930575,2154000.12,234.578910175276,-6563786.04,33.458751252912,,,30537192051.92,31.17513956792,15885387.15,-35.154198588099,,,117209343.84,7687.804962691382,,,,,,,30435868095.23,30.610896328827,,,,,7741563189.4,33.302808776727,22694304905.83,29.717320572782,22694304905.83,29.717320572782,,,,,,,,,,,,,836450419.2,39.548368040842,21857854486.63,29.368552739353,17.4,29.368029739777,17.4,29.368029739777,,,,,,,,,,,,,,,3007440.3,191.381142404545,,,,,,,,,,,,,,,3007440.3,191.381142404545,,,,,,,,,3007440.3,191.381142404545,3007440.3,191.381142404545,,,,,,,22697312346.13,29.758920152593,21860861926.93,29.411560451188,836450419.2,39.548368040842,,,,,,,,,,,21936923668.66,30.049054765603
600519.SH,600519,贵州茅台,10002602,通用,2023-09-30 00:00:00,三季度,2023三季度,058001001,2023-10-21 00:00:00,2024-10-26 00:00:00,CNY,,,34328694352.72,8.607941989228,33692335242.67,9.31897654444,636359110.05,-19.212697327497,,,,,,,,,11056390742.93,5.664224842084,2856989784.53,0.707319826606,23831746.73,-39.853786114502,13055.4,113.783704771064,28355342.55,-43.078098214358,,,,,,,,,,,,,5428746507.83,5.610150843864,1276389363.99,23.945897243214,1903092750.76,4.669467024399,,,-461027808.86,-2.242484600651,3448607.13,16.364915679965,490579076.3,-5.305971288892,,,,,5109005.65,-35.463219844379,,,2002209.08,,,,,,,,,,9515593.39,,643794.35,,-9864236.34,-117.273602709344,,,23279709975.92,9.779575938345,24497171.45,-23.524686098669,,,1505036.97,-89.29514149583,,,,,,,23302702110.4,9.794940788483,,,,,5807501927.71,7.216857956738,17495200182.69,10.678360232065,17495200182.69,10.678360232065,,,,,,,,,,,,,599398209.34,-3.589277618371,16895801973.35,11.262493795168,13.45,11.248966087676,13.45,11.248966087676,,,,,,,,,,,,,,,-3291095.1,-265.335754811719,,,,,,,,,,,,,,,-3291095.1,-265.335754811719,,,,,,,,,-3291095.1,-265.335754811719,-3291095.1,-265.335754811719,,,,,,,17491909087.59,10.643607091596,16892510878.25,11.226241448035,599398209.34,-3.589277618371,,,,,,,,,,,16868191551.41,11.201930530532
600519.SH,600519,贵州茅台,10002602,通用,2023-06-30 00:00:00,二季度,2023二季度,058001001,2023-08-03 00:00:00,2024-08-09 00:00:00,CNY,,,31607904287.63,-19.734726527301,30820207348.88,-20.475908821549,787696938.75,26.336798351252,,,,,,,,,10463703074.01,-2.350735005255,2836923661.01,-1.140247318443,39623020.62,182.974666338205,-94716.19,-138.945298979281,49814468.0,116.997749831056,,,,,,,,,,,,,5140364315.79,-5.860621288659,1029795574.02,36.124920751103,1818192835.85,-9.641181247015,,,-450916085.09,-7.278216681365,2963614.17,-10.144553485268,518067594.1,20.561640403779,,,,,7916424.77,-62.143092646204,,,0.0,-100.0,,,,,,,,,,,,,57105842.4,2134.751394994716,,,21205866188.62,-26.075612740882,32032783.13,123.002523053969,,,14059382.19,12989.268441597325,,,,,,,21223839589.56,-26.049710177451,,,,,5416594030.44,-24.511800834406,15807245559.12,-26.562383043939,15807245559.12,-26.562383043939,,,,,,,,,,,,,621713222.9,-14.815470058487,15185532336.22,-26.974667203174,12.09,-26.948640483384,12.09,-26.948640483384,,,,,,,,,,,,,,,1990552.56,-33.830920096635,,,,,,,,,,,,,,,1990552.56,-33.830920096635,,,,,,,,,1990552.56,-33.830920096635,1990552.56,-33.830920096635,,,,,,,15809236111.68,-26.563398748133,15187522888.78,-26.97565891635,621713222.9,-14.815470058487,,,,,,,,,,,15168973659.84,-26.996696044697
600519.SH,600519,贵州茅台,10002602,通用,2023-03-31 00:00:00,一季度,2023一季度,058001001,2023-04-26 00:00:00,2024-04-27 00:00:00,CNY,,,39379301807.75,4.266096691165,38755812096.89,4.91667625659,623489710.86,-24.741849740266,,,,,,,,,10715598396.54,-9.629622434343,2869644707.84,-4.69954429048,14002320.82,-37.824528388539,243203.14,152.285897228709,22956214.08,13.357486110691,,,,,,,,,,,,,5460376291.15,12.46875034819,756507749.16,-15.188216463601,2012191904.39,-41.562033026771,,,-420323994.04,-8.797904266882,3298202.04,-0.139049218184,429711799.18,4.652140100021,,,,,20911440.8,192.89464762667,,,4078666.67,-74.444444423559,,,,,,,,,,,,,-2806526.76,81.94755697013,,,28685886991.92,10.679508926515,14364314.22,-34.029253120536,,,107411.52,-99.930558770962,,,,,0.0,,28700143894.62,11.305284252446,,,0.0,,7175418264.46,6.72905467287,21524725630.16,12.919281706999,21524725630.16,12.919281706999,,,,,,,,,,,,,729842875.61,-1.954747657288,20794882754.55,13.523733441457,16.55,13.433858807402,16.55,13.433858807402,,,,,,,,,,,,,,,3008282.06,-34.072982067041,,,,,,,,,,,,,,,3008282.06,-34.072982067041,,,,,,,,,3008282.06,-34.072982067041,3008282.06,-34.072982067041,,,,,,,21527733912.22,12.908035449501,20797891036.61,13.51187973622,729842875.61,-1.954747657288,,,,,,,,,,,20778475545.61,12.928551647694
600519.SH,600519,贵州茅台,10002602,通用,2022-12-31 00:00:00,四季度,2022四季度,058001001,2023-03-31 00:00:00,2024-04-03 00:00:00,CNY,标准无保留意见,,37768079037.61,24.473102251215,36939611012.94,25.035213906231,828468024.67,3.68867185157,,,,,,,,,11857423511.1,18.138784073311,3011155284.07,18.744578447847,22520650.76,9.863991498927,-465140.99,-318.918599767348,20251167.23,-63.055162684148,,,,,,,,,,,,,4855016415.0,-1.494223095647,891984247.49,-0.736155904924,3443295529.62,77.862924554039,,,-386334642.08,-14.408699639883,3302794.55,-0.029430950649,410609662.42,5.69162305505,,,,,7139577.65,115.540903093007,,,15960000.0,0.0,,,,,,,,,,,-234000.86,-324.886999503328,-15546520.52,-926.196433183999,,,25917974582.78,27.506664696034,21773763.22,64.613285899072,,,154679750.76,143.639259700041,,,,,,,25785068595.24,27.167251292066,,,,,6723022410.77,32.659699014994,19062046184.47,25.33703929638,19062046184.47,25.33703929638,,,,,,,,,,,,,744393897.89,23.505307091038,18317652286.58,25.412626907427,14.59,25.559380378657,14.59,25.559380378657,,,,,,,,,,,,,,,4563048.89,2456.297298430557,,,,,,,,,,,,,,,4563048.89,2456.297298430557,,,,,,,,,4563048.89,2456.297298430557,4563048.89,2456.297298430557,,,,,,,19066609233.36,25.368638655203,18322215335.47,25.445531253661,744393897.89,23.505307091038,,,,,,,,,,,18399665312.66,25.763157576732
600519.SH,600519,贵州茅台,10002602,通用,2022-09-30 00:00:00,三季度,2022三季度,058001001,2022-10-17 00:00:00,2023-10-21 00:00:00,CNY,,,30342361807.12,15.561958283416,29543366111.76,16.674879033033,798995695.36,-14.569254551371,,,,,,,,,10036859278.78,15.791473290603,2535825486.46,21.822700265213,20498664.26,-26.869348932062,212472.12,12.996931983354,54814606.59,35.083225362601,,,,,,,,,,,,,4928661615.16,12.654750774475,898599339.59,-7.948019833286,1935926522.21,29.071558013331,,,-337679427.61,-1.28120846909,3303766.88,,388497830.34,15.17351052935,,,,,3312400.36,4.532568472951,,,15960000.0,0.0,,,,,,,,,,,104052.64,,1881697.85,1293.440587726468,,,20326760679.19,15.441020946002,13227221.06,-42.020199688072,,,63487202.74,3190.476290555462,,,,,,,20276500697.51,15.019161477238,,,,,5067870996.76,13.234483651419,15208629700.75,15.626420069926,15208629700.75,15.626420069926,,,,,,,,,,,,,602722195.04,-0.262488691963,14605907505.71,16.391568520635,11.62,16.316316316316,11.62,16.316316316316,,,,,,,,,,,,,,,-193653.36,75.236799352324,,,,,,,,,,,,,,,-193653.36,75.236799352324,,,,,,,,,-193653.36,75.236799352324,-193653.36,75.236799352324,,,,,,,15208436047.39,15.631822624913,14605713852.35,16.397278943252,602722195.04,-0.262488691963,,,,,,,,,,,14630409785.5,16.858573636404
600519.SH,600519,贵州茅台,10002602,通用,2022-06-30 00:00:00,二季度,2022二季度,058001001,2022-08-03 00:00:00,2023-08-03 00:00:00,CNY,,,26256358284.19,-20.88398614236,25321102842.88,-21.596209966638,935255441.31,4.920259668544,,,,,,,,,8668046958.51,-5.638297899262,2081570578.34,-15.55211180651,28030195.22,-18.834683762672,188033.53,-9.502175049819,40578396.35,107.652304619242,,,,,,,,,,,,,4375014441.27,0.873582596666,976186865.25,83.855352032286,1499886227.46,-29.684575233561,,,-333407778.91,0.29193958858,,,337315263.34,-0.496839660177,,,,,3168773.53,-70.887557987201,,,15960000.0,0.0,,,,,,,,,,,,,135039.69,111.673926161227,,,17607918322.81,-26.715716014285,22813498.82,74.979634566172,,,1929422.89,-93.297809172211,,,,,,,17628802398.74,-26.580668350726,,,,,4475554471.87,-26.133799961037,13153247926.86,-26.731490482601,13153247926.86,-26.731490482601,,,,,,,,,,,,,604308436.35,-14.54280947403,12548939490.51,-27.23129980221,9.99,-27.239621267298,9.99,-27.239621267298,,,,,,,,,,,,,,,-782020.72,41.917711669572,,,,,,,,,,,,,,,-782020.72,41.917711669572,,,,,,,,,-782020.72,41.917711669572,-782020.72,41.917711669572,,,,,,,13152465906.14,-26.730351436802,12548157469.79,-27.230153070699,604308436.35,-14.54280947403,,,,,,,,,,,12519757284.58,-27.392504254766
