SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603409.SH,603409,汇通控股,10401123,通用,2024-12-31 00:00:00,年报,2024年报,058001001,2025-02-13 00:00:00,2025-02-13 00:00:00,CNY,1074909915.7,40.5872447712,1074909915.7,40.5872447712,,,,,,,,,,,890104512.96,48.9520247303,759278165.07,49.8025057651,,,,,47443974.35,46.0094314862,,,,,,,,,,,,,6972481.78,26.755234724,18362814.2,24.5900091139,55293615.7,49.9946237673,,,2753461.86,144.0222092266,3926745.09,61.4099777992,532710.18,-54.7012579969,,,,,,,,,,,,,,,,,111741.92,-33.8748002934,-750694.86,8.1239125744,-6280447.69,-144.9214187817,15587133.95,132.3725075348,,,0.0,,193473136.06,13.4718923574,27814.59,-99.4212941179,,,34226.21,-79.4067029669,,,,,0.0,,193466724.44,10.4619744487,25047609.64,13.0681597795,,,,,,,168419114.8,10.0846052347,,,168419114.8,10.0846052347,,,167925426.27,10.2156294121,493688.53,-21.6124423712,165326837.5,12.4042348685,,,,,1.78,10.5590062112,1.78,10.5590062112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168419114.8,10.0846052347,167925426.27,10.2156294121,493688.53,-21.6124423712,,,,,,,,,,,
603409.SH,603409,汇通控股,10401123,通用,2024-06-30 00:00:00,中报,2024中报,058001001,2025-02-13 00:00:00,2025-02-27 00:00:00,CNY,445056431.15,40.8804764651,445056431.15,40.8804764651,,,,,,,,,,,353386156.53,52.0692603744,298917797.88,53.8559383713,,,,,20502986.99,35.7124693044,,,,,,,,,,,,,2678374.93,0.2962789699,8636223.17,29.2754666769,22027503.52,64.5061122299,,,623270.04,147.2321657329,1360154.92,20.1956165869,416278.33,-47.2807901753,,,,,,,,,,,,,,,,,10974.51,-79.8387653829,-243282.15,3.0938589502,-1406323.64,13.4323075416,4933013.41,104.9849524708,,,0.0,,94964656.75,12.9039407371,15300.74,-99.0469802913,,,1312.42,-98.9492280899,,,,,0.0,,94978645.07,10.9672233412,12171437.59,11.9630721551,,,,,,,82807207.48,10.8223395987,,,82807207.48,10.8223395987,,,82912459.13,11.3805760581,-105251.65,-137.5897756556,82562784.6,16.0621366101,,,,,0.88,11.3924050633,0.88,11.3924050633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82807207.48,10.8223395987,82912459.13,11.3805760581,-105251.65,-137.5897756556,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2023-12-31 00:00:00,年报,2023年报,058001001,2025-02-13 00:00:00,2025-02-27 00:00:00,CNY,764585661.7,21.687447568,764585661.7,21.687447568,,,,,,,,,,,597577988.33,31.3901444215,506852780.06,31.9999047774,,,,,32493773.77,40.8330360425,,,,,,,,,,,,,5500744.64,36.408587369,14738592.87,20.2354366902,36863731.72,23.710376993,,,1128365.27,-32.4574542192,2432777.17,-11.8507355599,1175993.32,-0.453302345,,,,,,,,,,,,,,,,,168985.38,327.2171929822,-817073.17,29.7714478496,-2564270.5,-55.5297424714,6707821.9,13.9936650842,,,0.0,,170503136.98,-3.4005015401,4806343.06,267.8716980208,,,166200.73,90.6551729557,,,,,0.0,,175143279.31,-1.452401018,22152664.1,41.3027248012,,,,,,,152990615.21,-5.5887992577,,,152990615.21,-5.5887992577,,,152360810.5,-6.0290453554,629804.71,807.9235021202,147082392.13,-6.1878925826,,,,,1.61,-6.3953488372,1.61,-6.3953488372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152990615.21,-5.5887992577,152360810.5,-6.0290453554,629804.71,807.9235021202,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2023-06-30 00:00:00,中报,2023中报,058001001,2023-11-10 00:00:00,2023-11-10 00:00:00,CNY,315910651.58,23.8237467981,315910651.58,23.8237467981,,,,,,,,,,,232385003.82,25.3989583808,194284212.26,24.1437025427,,,,,15107666.3,70.4894321307,,,,,,,,,,,,,2670462.91,28.7970044637,6680481.14,45.7984584931,13390082.12,13.6250049239,,,252099.09,-83.3696429673,1131617.74,-40.7820838239,789614.13,74.1877576743,,,,,,,,,,,,,,,,,54433.72,173.0201137013,-251049.26,21.1498864828,-1624536.36,-391.8980142485,2406524.65,-22.6186209743,,,0.0,,84111020.51,15.0844901292,1605500.9,28241.9050409903,,,124900.56,26.3330632374,,,,,0.0,,85591620.85,17.2598466705,10870939.28,2.7104062343,,,,,,,74720681.57,19.7273135225,,,74720681.57,19.7273135225,,,74440680.83,18.354819437,280000.74,157.4778825179,71136709.19,16.6168227205,,,,,0.79,17.9104477612,0.79,17.9104477612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74720681.57,19.7273135225,74440680.83,18.354819437,280000.74,157.4778825179,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-08-17 00:00:00,2025-02-27 00:00:00,CNY,628319253.12,50.6048119218,628319253.12,50.6048119218,,,,,,,,,,,454811881.79,29.9603165908,383979655.83,29.3392812535,,,,,23072550.79,51.8064015358,,,,,,,,,,,,,4032550.11,30.1672141955,12258110.65,45.3162046914,29798415.15,31.8122792335,,,1670599.26,-55.3967285737,2759838.31,-25.3291373317,1181348.4,398.761759506,,,,,,,,,,,,,,,,,-74371.74,,-1163448.69,-134.2467102942,-1648733.2,50.2765629914,5884381.29,40.2594233137,,,0.0,,176505198.99,161.0325546458,1306527.0,207.6049025817,,,87173.47,-91.4026172677,,,,,0.0,,177724552.52,165.1462863284,15677450.05,52.9439285031,,,,,,,162047102.47,185.4026707687,,,162047102.47,185.4026707687,,,162136067.55,184.9010300718,-88965.08,32.1909864131,156784018.8,179.2720748521,,,,,1.72,186.6666666667,1.72,186.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162047102.47,185.4026707687,162136067.55,184.9010300718,-88965.08,32.1909864131,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2023-01-06 00:00:00,2023-03-03 00:00:00,CNY,255129294.46,41.3584212654,255129294.46,41.3584212654,,,,,,,,,,,185316534.38,17.2045774377,156499450.46,18.8580960616,,,,,8861350.59,34.6913451819,,,,,,,,,,,,,2073388.99,71.913698666,4581997.1,-46.4972347997,11784450.2,44.4674157739,,,1515897.04,-21.792625687,1910938.13,27.2789204304,453312.07,289.5213972421,,,,,,,,,,,,,,,,,-74546.2,,-318387.95,,556542.45,218.3928909098,3109953.17,56.7364516911,,,0.0,,73086321.55,206.0008826926,5664.76,-85.6099603108,,,98866.09,-80.2918009254,,,,,0.0,,72993120.22,211.6425321556,10584068.04,429.7150749795,,,,,,,62409052.18,191.3044144133,,,62409052.18,191.3044144133,,,62896197.37,188.0625426317,-487145.19,-18.7528248715,61000383.59,196.6872792019,,,,,0.67,191.3043478261,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62409052.18,191.3044144133,62896197.37,188.0625426317,-487145.19,-18.7528248715,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2023-01-06 00:00:00,2025-02-27 00:00:00,CNY,417197329.29,42.4067456299,417197329.29,42.4067456299,,,,,,,,,,,349962122.07,41.0390903934,296877833.33,42.1539036038,,,,,15198667.88,33.3151966671,,,,,,,,,,,,,3097976.81,57.7629632029,8435473.99,30.7421727436,22606706.54,37.1385257974,,,3745463.52,25.3528436624,3696004.32,22.3257157466,236856.25,91.7945128054,,,,,,,,,,,,,,,,,,,-496676.64,59.257632757,-3315806.99,-42.1107177219,4195355.4,-58.6709665041,,,0.0,-100.0,67618078.99,30.9632009818,424741.93,210.5079494835,,,1013953.58,202.0150838718,,,,,0.0,-100.0,67028867.34,30.3241616495,10250455.97,54.2290805119,,,,,,,56778411.37,26.7766786588,,,56778411.37,26.7766786588,,,56909610.86,30.1808071588,-131199.49,-112.2577234492,56140242.05,57.8191437793,,,,,0.6,30.4347826087,0.6,30.4347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56778411.37,26.7766786588,56909610.86,30.1808071588,-131199.49,-112.2577234492,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-27 00:00:00,2021-08-27 00:00:00,CNY,180483972.71,58.5940217138,180483972.71,58.5940217138,,,,,,,,,,,158113734.49,60.0733483709,131669154.77,61.8346304476,,,,,6579005.19,35.4894622778,,,,,,,,,,,,,1206063.86,26.7137678618,8564037.92,65.0238662976,8157168.27,69.2030876941,,,1938304.48,21.3373104769,1501378.33,-10.1676217154,116376.68,-55.3134883928,,,,,,,,,,,,,,,,,,,,,-470080.97,-178.9783112678,1984192.66,-45.4208795786,,,0.0,,23884349.91,30.1016010747,39365.84,-31.8660750833,,,501649.54,116.4086433946,,,,,0.0,,23422066.21,28.8044937417,1998068.12,7.685746689,,,,,,,21423998.09,31.2042526139,,,21423998.09,31.2042526139,,,21834215.86,43.7435797523,-410217.77,-136.0143608022,20560498.5,69.6899197079,,,,,0.23,53.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21423998.09,31.2042526139,21834215.86,43.7435797523,-410217.77,-136.0143608022,,,,,,,,,,,
603409.SH,603409,汇通控股,10401123,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-29 00:00:00,2023-11-10 00:00:00,CNY,292961774.7,9.9704958661,292961774.7,9.9704958661,,,,,,,,,,,248131295.44,5.2384494938,208842547.27,11.1233028736,,,,,11400551.67,5.3340588405,,,,,,,,,,,,,1963690.81,-22.0719572588,6451991.59,-63.3725274047,16484577.48,18.5277753384,,,2987936.62,0.3893799599,3021445.08,-9.9219465666,123494.8,8.2220497997,,,,,,,,,,,,,,,,,202092.05,1473.1464010039,-1219066.72,-1448.9281660665,-2333256.1,-82.9730640436,10151109.39,-9.6793753454,,,292961774.7,,51631357.88,27.4276094269,136789.39,-31.0711963794,,,335729.45,-84.1672005032,,,,,51631357.88,,51432417.82,33.2578284147,6646253.7,18.1576326388,,,,,,,44786164.12,35.8339247154,,,44786164.12,35.8339247154,,,43715822.71,29.8475936827,1070341.41,253.8377195725,35572517.19,23.3083492765,,,,,0.46,27.7777777778,0.46,27.7777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44786164.12,35.8339247154,43715822.71,29.8475936827,1070341.41,253.8377195725,,,,,,,,,,,标准无保留意见
603409.SH,603409,汇通控股,10401123,通用,2020-06-30 00:00:00,中报,2020中报,058001001,2020-07-29 00:00:00,2021-08-27 00:00:00,CNY,113802507.03,-11.7520556768,113802507.03,-11.7520556768,,,,,,,,,,,98775802.53,-15.4870801335,81360308.61,-12.3342891758,,,,,4855732.01,18.4350866879,,,,,,,,,,,,,951801.75,-21.3515882368,5189575.37,-48.4648960692,4820933.46,-32.7591137165,,,1597451.33,5.1378507156,1671310.9,,260429.1,,,,,,,,,,,,,,,,,,,,-899120.79,,595202.61,113955.540677545,3635442.72,-31.399737563,,,0.0,,18358229.04,5.5607172308,57777.15,179.8331476728,,,231806.61,1686.9780195637,,,,,0.0,,18184199.58,4.513915551,1855462.01,96.1535224571,,,,,,,16328737.57,-0.7547000353,,,16328737.57,-0.7547000353,,,15189698.14,-6.5806251755,1139039.43,489.50249368,12116511.42,1.7901529553,,,,,0.15,-11.7647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16328737.57,-0.7547000353,15189698.14,-6.5806251755,1139039.43,489.50249368,,,,,,,,,,,标准无保留意见
